Time, I,
10/01/2013 00:00,	137,
11/01/2013 00:00,	114,
12/01/2013 00:00,	127,
13/01/2013 00:00,	126,
14/01/2013 00:00,	130,
15/01/2013 00:00,	139,
16/01/2013 00:00,	124,
17/01/2013 00:00,	123,
18/01/2013 00:00,	109,
19/01/2013 00:00,	101,
20/01/2013 00:00,	96,
21/01/2013 00:00,	118,
22/01/2013 00:00,	113,
23/01/2013 00:00,	118,
24/01/2013 00:00,	99,
25/01/2013 00:00,	119,
26/01/2013 00:00,	91,
27/01/2013 00:00,	145,
28/01/2013 00:00,	135,
29/01/2013 00:00,	142,
30/01/2013 00:00,	142,
31/01/2013 00:00,	146,
01/02/2013 00:00,	80,
02/02/2013 00:00,	42,
03/02/2013 00:00,	86,
04/02/2013 00:00,	124,
05/02/2013 00:00,	113,
06/02/2013 00:00,	189,
07/02/2013 00:00,	451,
08/02/2013 00:00,	456,
09/02/2013 00:00,	404,
10/02/2013 00:00,	585,
11/02/2013 00:00,	943,
12/02/2013 00:00,	1068,
13/02/2013 00:00,	2149,
14/02/2013 00:00,	2457,
15/02/2013 00:00,	3005,
16/02/2013 00:00,	4036,
17/02/2013 00:00,	2461,
18/02/2013 00:00,	3633,
19/02/2013 00:00,	4567,
20/02/2013 00:00,	2932,
21/02/2013 00:00,	2652,
22/02/2013 00:00,	3424,
23/02/2013 00:00,	1836,
24/02/2013 00:00,	1979,
25/02/2013 00:00,	1620,
26/02/2013 00:00,	1611,
27/02/2013 00:00,	2801,
28/02/2013 00:00,	2963,
01/03/2013 00:00,	3401,
02/03/2013 00:00,	2745,
03/03/2013 00:00,	3863,
04/03/2013 00:00,	2719,
05/03/2013 00:00,	3099,
06/03/2013 00:00,	3165,
07/03/2013 00:00,	3062,
08/03/2013 00:00,	3023,
09/03/2013 00:00,	3472,
10/03/2013 00:00,	3097,
11/03/2013 00:00,	4046,
12/03/2013 00:00,	3623,
13/03/2013 00:00,	3516,
14/03/2013 00:00,	3296,
15/03/2013 00:00,	3257,
16/03/2013 00:00,	3163,
17/03/2013 00:00,	3380,
18/03/2013 00:00,	2893,
19/03/2013 00:00,	2663,
20/03/2013 00:00,	2848,
21/03/2013 00:00,	2938,
22/03/2013 00:00,	3101,
23/03/2013 00:00,	2825,
24/03/2013 00:00,	2970,
25/03/2013 00:00,	2706,
26/03/2013 00:00,	2623,
27/03/2013 00:00,	2617,
28/03/2013 00:00,	2722,
29/03/2013 00:00,	2485,
30/03/2013 00:00,	2457,
31/03/2013 00:00,	2514,
01/04/2013 00:00,	2663,
02/04/2013 00:00,	2569,
03/04/2013 00:00,	2364,
04/04/2013 00:00,	2473,
05/04/2013 00:00,	2661,
06/04/2013 00:00,	2836,
07/04/2013 00:00,	2593,
08/04/2013 00:00,	1884,
09/04/2013 00:00,	1591,
10/04/2013 00:00,	1759,
11/04/2013 00:00,	1736,
12/04/2013 00:00,	1768,
13/04/2013 00:00,	1826,
14/04/2013 00:00,	1754,
15/04/2013 00:00,	1576,
16/04/2013 00:00,	1653,
17/04/2013 00:00,	1240,
18/04/2013 00:00,	1554,
19/04/2013 00:00,	1366,
20/04/2013 00:00,	1672,
21/04/2013 00:00,	1704,
22/04/2013 00:00,	1397,
23/04/2013 00:00,	1175,
24/04/2013 00:00,	1670,
25/04/2013 00:00,	1609,
26/04/2013 00:00,	1488,
27/04/2013 00:00,	1184,
28/04/2013 00:00,	1326,
29/04/2013 00:00,	1374,
30/04/2013 00:00,	1391,
01/05/2013 00:00,	946,
02/05/2013 00:00,	1058,
03/05/2013 00:00,	1213,
04/05/2013 00:00,	1135,
05/05/2013 00:00,	1253,
06/05/2013 00:00,	1342,
07/05/2013 00:00,	1411,
08/05/2013 00:00,	1305,
09/05/2013 00:00,	1252,
10/05/2013 00:00,	1259,
11/05/2013 00:00,	1358,
12/05/2013 00:00,	1158,
13/05/2013 00:00,	1304,
14/05/2013 00:00,	1219,
15/05/2013 00:00,	1292,
16/05/2013 00:00,	1251,
17/05/2013 00:00,	1213,
18/05/2013 00:00,	1312,
19/05/2013 00:00,	1263,
20/05/2013 00:00,	1257,
21/05/2013 00:00,	1263,
22/05/2013 00:00,	1232,
23/05/2013 00:00,	1337,
24/05/2013 00:00,	1286,
25/05/2013 00:00,	1202,
26/05/2013 00:00,	1321,
27/05/2013 00:00,	1225,
28/05/2013 00:00,	1314,
29/05/2013 00:00,	927,
30/05/2013 00:00,	442,
31/05/2013 00:00,	567,
01/06/2013 00:00,	548,
02/06/2013 00:00,	530,
03/06/2013 00:00,	554,
04/06/2013 00:00,	486,
05/06/2013 00:00,	512,
06/06/2013 00:00,	382,
07/06/2013 00:00,	446,
08/06/2013 00:00,	359,
09/06/2013 00:00,	285,
10/06/2013 00:00,	441,
11/06/2013 00:00,	474,
12/06/2013 00:00,	415,
13/06/2013 00:00,	389,
14/06/2013 00:00,	365,
15/06/2013 00:00,	346,
16/06/2013 00:00,	320,
17/06/2013 00:00,	430,
18/06/2013 00:00,	467,
19/06/2013 00:00,	478,
20/06/2013 00:00,	602,
21/06/2013 00:00,	621,
22/06/2013 00:00,	518,
23/06/2013 00:00,	447,
24/06/2013 00:00,	555,
25/06/2013 00:00,	439,
26/06/2013 00:00,	412,
27/06/2013 00:00,	328,
28/06/2013 00:00,	303,
29/06/2013 00:00,	309,
30/06/2013 00:00,	288,
01/07/2013 00:00,	247,
02/07/2013 00:00,	321,
03/07/2013 00:00,	321,
04/07/2013 00:00,	321,
05/07/2013 00:00,	321,
06/07/2013 00:00,	321,
07/07/2013 00:00,	321,
08/07/2013 00:00,	321,
09/07/2013 00:00,	321,
10/07/2013 00:00,	414,
11/07/2013 00:00,	448,
