t,I
1,585
2,564
3,490
4,576
5,902
6,803
7,838
8,953
9,882
10,797
11,844
12,769
13,779
14,911
15,1154
16,1083
17,912
18,868
19,1130
20,1191
21,1619
22,1587
23,1197
24,964
25,1119
26,1163
27,1350
28,1383
29,1457
30,1654
31,1388
32,1688
33,1369
34,1685
35,1682
36,1814
37,1752
38,1666
39,1641
40,1554
41,1483
42,1737
43,1948
44,2281
45,2456
46,2542
47,2523
48,2711
49,2174
50,2782
51,2889
52,3170
53,2359
54,1964
55,2002
56,2036
57,2244
58,2309
59,2474
60,3539
61,3435
62,3908
63,3466
64,2827
65,3596
66,4969
67,4851
68,4522
69,4381
70,5794
71,5683
72,3747
73,3878
74,3683
75,5690
76,6706
77,2887
78,4948
79,5318
80,5417
81,4858
82,5844
83,6923
84,5844
85,2562
86,3482
87,3986
88,3690
89,3817
90,4184
91,3879
92,3639
93,4170
94,4151
95,3234
96,5071
97,4320
98,4544
99,3786
100,3529
101,3924
102,3790
103,3540
104,4710
105,4591
106,14060
107,14433
108,12573
109,9446
110,11070
111,11313
112,10961
113,9730
114,8874
115,10069
116,10488
117,10861
118,12089
119,9884
119,9884
119,9884
119,9884
119,9884
119,9884
119,9884
119,7678
120,9961
121,10227
122,8728
123,7217
124,9070
125,6687
126,7971
127,7491
128,9225
129,6769
130,9302
131,6614
132,7561
133,7686
134,7210
135,8655
136,9160
137,8675
138,7245
139,8104
140,6819
141,5947
142,5490
143,4535
144,4459
145,3570
146,5227
147,3074
148,5816
149,6044
150,2303
151,2568
152,1779
153,5157
154,5146
155,3994
156,4673
157,5308
158,3047
159,4524
160,3507
161,3850
162,3749
163,3246
164,5857
165,6067
166,5349
167,6824
168,7533
169,7739
170,7555
171,6644
172,3286
173,2286
174,1225
175,4391
176,4488
177,3892
178,2831
179,2097
180,3169
181,3908
182,3151
183,2933
184,1081
185,1933
186,1982
187,2535
188,584
189,2374
190,1462
191,2685
192,1599
193,226
194,1327
195,3608
196,3096
197,430
198,1558
199,1357
200,1157
201,168
202,278
203,102
204,209
205,161
206,502
207,236
208,1886
209,575
210,420
211,567
212,964
213,440
214,249
215,248
216,85
217,140
218,81
219,69
220,3657
221,2080
222,1263
223,16
224,4626
225,5482
226,4780
227,4318
228,4795
229,4233
230,4339
231,3701
232,3796
233,3894
234,4707
235,5017
236,3858
237,4752
238,4100
239,4651
240,4649
241,4812
242,4659
243,4613
244,3938
245,2895
246,4148
247,3805
248,4065
249,4313
250,4232
251,3981
252,3847
253,3851
254,3679
255,3962
256,4104
257,3906
258,3689
259,3695
260,3738
261,3505
262,3645
263,3636
264,3585
265,3532
266,3573
267,3566
268,3382
269,3537
270,3639
271,3532
272,3309
273,3345
274,3214
275,3294
276,3263
277,3370
278,3489
279,3323
280,3023
281,2986
282,3032
283,3171
284,3149
285,3183
286,3143
287,2992
288,3272
289,3107
290,3177
291,3148
292,3493
293,3248
294,2875
295,3482
296,3308
297,3263
298,3349
299,3376
300,3135
301,3293
302,3170
303,2821
