t,I
1	,15
2	,37
3	,38
4	,56
5	,145
6	,231
7	,138
8	,254
9	,242
10	,350
11	,562
12	,636
13	,513
14	,505
15	,508
16	,473
17	,556
18	,510
19	,498
20	,487
21	,602
22	,552
23	,627
24	,576
25	,654
26	,337
27	,745
28	,599
29	,776
30	,824
31	,546
32	,550
33	,659
34	,780
35	,898
36	,814
37	,831
38	,957
39	,974
40	,1365
41	,1356
42	,1442
43	,959
44	,1410
45	,1192
46	,1261
47	,3067
48	,2732
49	,2563
50	,2879
51	,2980
52	,2327
53	,2902
54	,2630
55	,2923
56	,2940
57	,3629
58	,3498
59	,3495
60	,4066
61	,2972
62	,4018
63	,4436
64	,3661
65	,3234
66	,3440
67	,2956
68	,3038
69	,2559
70	,3074
71	,2253
72	,2751
73	,2295
74	,1810
75	,2229
76	,1801
77	,2579
78	,5174
79	,8889
80	,8065
81	,6625
82	,7497
83	,7291
84	,7262
85	,6461
86	,6749
87	,6859
88	,7941
89	,7982
90	,7047
91	,6628
92	,7389
93	,6005
94	,5825
95	,6371
96	,7102
97	,6664
98	,6618
99	,5572
100	,6538
101	,8069
102	,9089
103	,7548
104	,9508
105	,9565
106	,9765
107	,10589
108	,10960
109	,10713
110	,9264
111	,9155
112	,10606
113	,10614
114	,9893
115	,10205
116	,10411
117	,10111
118	,10642
119	,10288
120	,10527
121	,9909
122	,7939
123	,7844
124	,7755
125	,7547
126	,7756
127	,7960
128	,7887
129	,8083
130	,8208
131	,7788
132	,8001
133	,8764
134	,8724
135	,8817
136	,8314
137	,8741
138	,9270
139	,9457
140	,8973
141	,8993
142	,9743
143	,9468
144	,8913
145	,8920
146	,9174
147	,8973
148	,9072
149	,8714
150	,8356
151	,8048
152	,8496
153	,7336
154	,8112
155	,8472
156	,7326
157	,8554
158	,8599
159	,8902
160	,9396
161	,9111
162	,11049
163	,11526
164	,11427
165	,11987
166	,10916
167	,11301
168	,11915
169	,12415
170	,11753
171	,11445
172	,11137
173	,12366
174	,11381
175	,11215
176	,12443
177	,13341
178	,12155
179	,12338
180	,12724
181	,12124
182	,11766
183	,11657
184	,11603
185	,12271
186	,11304
187	,10413
188	,10634
189	,10588
190	,10987
191	,10468
192	,10499
193	,10161
194	,11536
195	,9665
196	,10202
197	,9577
198	,11771
199	,11419
200	,10655
201	,10936
202	,12306
203	,11910
204	,11434
205	,10431
206	,11168
207	,11561
208	,12515
209	,12448
210	,12860
211	,11790
212	,11373
213	,11101
214	,11462
215	,11391
216	,10997
217	,11308
218	,11677
219	,10820
220	,11005
221	,11129
222	,10289
223	,10709
224	,10653
225	,10667
226	,10145
227	,9974
228	,10417
229	,9591
230	,10822
231	,8833
232	,8797
233	,9642
234	,9759
235	,9271
236	,9430
237	,9679
238	,12864
239	,13697
240	,13158
241	,13459
242	,13400
243	,12920
244	,12245
245	,12276
246	,12264
247	,11121
248	,11671
249	,12437
250	,11896
251	,12284
252	,11902
253	,11850
254	,12362
255	,12685
256	,13046
257	,12420
258	,11780
259	,9453
260	,11612
261	,10060
262	,11788
263	,11770
264	,11242
265	,11190
266	,10613
267	,10181
268	,10164
269	,10677
270	,10755
271	,10860
272	,9433
273	,9419
274	,8947
275	,9041
276	,9283
277	,8985
278	,8727
279	,8024
280	,8080
281	,7668
282	,8949
283	,9266
284	,8352
285	,9225
286	,9224
287	,9087
288	,8501
289	,9224
290	,9630
291	,8812
292	,8600
293	,8453
294	,8094
295	,8687
296	,7579
297	,8155
298	,8451
299	,7892
300	,7843
301	,7659
302	,7223
303	,7160
304	,6442
305	,6883
306	,5499
307	,5436
308	,4942
309	,6657
310	,7033
311	,6674
312	,6742
313	,7134
314	,6695
315	,6459
316	,6823
317	,7028
318	,6374
319	,5608
320	,6675
321	,5955
322	,6199
323	,6439
324	,6262
325	,5739
326	,6100
327	,6159
328	,5568
329	,6363
330	,5927
331	,5655
332	,5505
333	,5447
334	,5838
335	,5558
336	,5543
337	,5306
338	,5326
339	,5048
340	,5172
341	,5425
342	,5213
343	,5014
344	,4124
345	,4553
346	,4236
347	,4821
348	,5256
349	,4862
350	,3817
351	,4564
352	,3957
353	,4078
354	,4066
355	,3911
356	,3964
357	,4051
358	,3578
359	,3913
360	,3896
361	,3961
362	,3926
363	,4061
364	,3858
365	,3880
366	,3669
367	,3842
368	,4068
369	,4269
370	,3878
371	,4117
372	,3699
373	,3326
374	,2879
375	,2923
376	,2740
377	,2666
378	,4114
379	,3917
380	,3521
381	,3701
382	,3697
383	,3453
384	,3971
385	,3782
386	,3990
387	,3692
388	,3579
389	,3817
390	,4418
391	,4480
392	,4582
393	,4663
394	,4496
395	,4434
396	,4287
397	,4422
398	,4092
399	,4434
400	,4323
401	,4118
402	,4348
403	,3912
404	,4205
405	,3975
406	,3879
407	,3852
408	,4101
409	,4100
410	,3873
411	,4275
412	,4415
413	,4176
414	,4100
415	,3815
416	,3909
417	,3839
418	,3884
419	,3573
420	,4058
421	,4101
422	,3884
423	,3695
424	,3722
425	,3842
426	,3417
427	,3810
428	,3532
429	,3714
430	,3955
431	,3954
432	,3898
433	,3966
434	,3579
435	,3562
436	,3276
437	,2844
438	,2581
439	,2508
440	,2753
441	,2698
442	,2736
443	,2454
444	,2535
445	,3040
446	,3132
447	,2944
448	,2700
449	,2589
450	,2580
451	,2693
452	,2622
453	,2867
454	,2701
455	,2801
456	,2835
457	,2794
458	,2760
459	,3113
460	,2497
461	,2586
462	,2576
463	,2766
464	,2767
465	,2377
466	,2506
467	,3094
468	,2859
469	,2448
470	,1411
471	,1767
472	,1531
473	,1642
474	,1694
475	,1675
476	,1696
477	,1400
478	,1697
479	,1518
480	,1334
481	,1610
482	,1460
483	,1290
484	,1288
485	,1194
486	,1186
487	,1226
488	,1338
489	,1462
490	,1418
491	,1625
492	,1573
493	,1404
494	,1225
495	,1566
496	,1414
497	,1401
498	,989
499	,792
500	,962
501	,889
502	,931
503	,882
504	,2950
505	,2576
506	,2265
507	,2232
508	,2022
509	,2109
510	,2227
511	,2153
512	,2179
513	,1877
514	,1587
515	,1499
516	,1635
517	,1255
518	,2221
519	,2315
520	,2483
521	,2557
522	,2559
523	,2413
524	,1442
525	,1198
526	,948
527	,212
528	,406
529	,322
530	,387
531	,406
532	,375
533	,508
534	,359
535	,125
536	,75
537	,93
538	,947
539	,772
540	,270
541	,311
542	,454
543	,237
544	,536
545	,705
546	,693
547	,756
548	,845
549	,1189
550	,1153
551	,1185
552	,1003
553	,1259
554	,1089
555	,1206
556	,1100
557	,338
558	,137
559	,68
560	,219
561	,522
562	,449
563	,181
564	,90
565	,144
566	,218
567	,156
568	,123
569	,76
570	,81
571	,68
572	,88
573	,105
574	,159
575	,139
576	,121
577	,120
578	,47
