Time,	PSY: Downloads - BitTorrent,
30/07/2012 00:00,	1,
31/07/2012 00:00,	111,
01/08/2012 00:00,	86,
02/08/2012 00:00,	174,
03/08/2012 00:00,	312,
04/08/2012 00:00,	342,
05/08/2012 00:00,	316,
06/08/2012 00:00,	420,
07/08/2012 00:00,	380,
08/08/2012 00:00,	414,
09/08/2012 00:00,	439,
10/08/2012 00:00,	537,
11/08/2012 00:00,	497,
12/08/2012 00:00,	505,
13/08/2012 00:00,	418,
14/08/2012 00:00,	274,
15/08/2012 00:00,	394,
16/08/2012 00:00,	689,
17/08/2012 00:00,	802,
18/08/2012 00:00,	906,
19/08/2012 00:00,	747,
20/08/2012 00:00,	880,
21/08/2012 00:00,	816,
22/08/2012 00:00,	936,
23/08/2012 00:00,	1041,
24/08/2012 00:00,	1061,
25/08/2012 00:00,	1298,
26/08/2012 00:00,	1214,
27/08/2012 00:00,	1083,
28/08/2012 00:00,	653,
29/08/2012 00:00,	843,
30/08/2012 00:00,	949,
31/08/2012 00:00,	1328,
01/09/2012 00:00,	1518,
02/09/2012 00:00,	1126,
03/09/2012 00:00,	1268,
04/09/2012 00:00,	1682,
05/09/2012 00:00,	1940,
06/09/2012 00:00,	2422,
07/09/2012 00:00,	2229,
08/09/2012 00:00,	2508,
09/09/2012 00:00,	3032,
10/09/2012 00:00,	2967,
11/09/2012 00:00,	2921,
12/09/2012 00:00,	3189,
13/09/2012 00:00,	3491,
14/09/2012 00:00,	3618,
15/09/2012 00:00,	4354,
16/09/2012 00:00,	4064,
17/09/2012 00:00,	5881,
18/09/2012 00:00,	7261,
19/09/2012 00:00,	7533,
20/09/2012 00:00,	8912,
21/09/2012 00:00,	9755,
22/09/2012 00:00,	11336,
23/09/2012 00:00,	12214,
24/09/2012 00:00,	8770,
25/09/2012 00:00,	10735,
26/09/2012 00:00,	11135,
27/09/2012 00:00,	11592,
28/09/2012 00:00,	11198,
29/09/2012 00:00,	11734,
30/09/2012 00:00,	12182,
01/10/2012 00:00,	11874,
02/10/2012 00:00,	12602,
03/10/2012 00:00,	12272,
04/10/2012 00:00,	12355,
05/10/2012 00:00,	14311,
06/10/2012 00:00,	16168,
07/10/2012 00:00,	15855,
08/10/2012 00:00,	14927,
09/10/2012 00:00,	15232,
