t,I
1,5943
2,5257
3,4356
4,4618
5,4871
6,6992
7,6607
8,7293
9,5892
10,4260
11,4701
12,4285
13,6996
14,6233
15,5554
16,4249
17,3927
18,4459
19,6282
20,4578
21,4695
22,4946
23,4881
24,4161
25,4999
26,6564
27,5585
28,4937
29,5237
30,4242
31,4126
32,4450
33,4484
34,5508
35,5048
36,5060
37,4492
38,4455
39,4604
40,10373
41,7845
42,4513
43,4762
44,4348
45,4175
46,4258
47,4461
48,4632
49,4541
50,7986
51,6337
52,4589
53,4877
54,5353
55,5286
56,7901
57,7314
58,7314
59,5624
60,6480
61,6274
62,8017
63,8108
64,7040
65,5737
66,4798
67,5702
68,5673
69,5407
70,7492
71,6764
72,5997
73,5403
74,4562
75,3868
76,6806
77,6573
78,5780
79,7132
80,6163
81,7543
82,7669
83,8470
84,8225
85,8098
86,8122
87,6231
88,6742
89,9322
90,8436
91,7754
92,8761
93,7664
94,7539
95,7713
96,8829
97,9563
98,9617
99,12490
100,11721
101,13633
102,13317
103,12009
104,14366
105,10283
106,12978
107,10778
108,9539
109,9382
110,9297
111,12406
112,11801
113,9907
114,8978
115,8455
116,7261
117,8733
118,11471
119,13278
120,17566
121,17324
122,17435
123,20754
124,28890
125,39390
126,49522
127,55912
128,74266
129,54744
130,47194
131,72324
132,60703
133,63507
134,57922
135,60264
136,47468
137,42665
138,38945
139,59192
140,52818
141,48727
142,44592
143,40057
144,39648
145,41241
146,35516
147,70835
148,63552
149,52637
150,47237
151,36206
152,48059
153,42045
154,39648
155,52374
156,54455
157,50357
158,34692
159,36255
160,39594
161,38868
162,38391
163,47718
164,34220
165,34514
166,42197
167,36704
168,32216
169,31619
170,37732
171,32996
172,26465
173,23200
174,32898
175,32223
176,31930
177,31024
178,31751
179,23629
180,26112
181,26384
182,22947
183,23576
184,27445
185,27538
186,22444
187,28486
188,26913
189,24216
190,19360
191,28515
192,22608
193,20316
194,22099
195,22315
196,23887
197,24284
198,25008
199,22166
200,16821
201,17523
202,23749
203,18527
204,22141
205,22048
206,20448
207,15122
208,17058
209,21205
210,16397
211,16581
212,20008
213,18254
214,18258
215,55830
216,114403
217,90372
218,69562
219,44303
220,39049
221,36253
222,37970
223,38866
224,35527
225,34695
226,32309
227,30317
228,27676
229,30826
230,33938
231,27544
232,26767
233,25420
234,17225
235,28494
236,30828
237,22933
238,39799
239,38430
240,25734
241,22263
242,24119
243,31238
244,28847
245,23123
246,23253
247,23698
248,20897
249,21379
250,23813
251,20668
252,19453
253,20800
254,19479
255,17673
256,16613
257,17846
258,25373
259,30494
260,32143
261,22571
262,16737
263,17165
264,18678
265,18533
266,18758
267,18414
268,17312
269,16293
270,16743
271,23729
272,21687
273,16073
274,15617
275,15822
276,13737
277,14648
278,16978
279,18087
280,18149
281,17943
282,16972
283,16098
284,17366
285,23441
286,21687
287,18283
288,16523
289,15257
290,13828
291,15517
292,16619
293,15662
294,16367
295,17508
296,16188
297,14999
298,16486
299,17850
300,26375
301,15467
302,15293
303,14336
304,14082
305,24897
306,24665
307,17905
308,16510
309,16481
310,15440
311,15381
312,15492
313,15892
314,25486
315,15262
316,15170
317,15323
318,13441
319,13980
320,18203
321,19527
322,24614
323,18005
324,16426
325,16075
326,16059
327,16390
328,24527
329,15336
330,15503
331,15856
332,14032
333,12588
334,13047
335,15447
336,12947
337,14266
338,15187
339,15670
340,14405
341,15029
342,24495
343,14640
344,15578
345,14354
346,13444
347,13105
348,13779
349,12579
350,13526
351,13529
352,12780
353,12995
354,12798
355,13769
356,22234
357,13014
358,14580
359,13526
360,12403
361,11374
362,11705
363,14403
364,13232
365,14018
366,13643
367,13911
368,13910
369,13697
370,17191
371,12623
372,13067
373,13565
374,12484
375,11918
376,12365
377,12541
378,14043
379,14412
380,13942
381,14414
382,14368
383,14682
384,22469
385,13004
386,13299
387,19414
388,16550
389,30610
390,37974
391,29677
392,17640
393,21848
394,18595
395,17805
396,17054
397,19629
398,39336
399,21514
400,21314
401,20209
402,18703
403,17581
404,18755
405,18073
406,19947
407,24390
408,22976
409,19584
410,18824
411,18592
412,28903
413,16348
414,38187
415,30869
416,26500
417,24741
418,23569
419,23765
420,24262
421,21602
422,19666
423,19474
424,20607
425,20178
426,28139
427,20322
428,21700
429,20345
430,19043
431,17929
432,18631
433,18705
434,25180
435,26227
436,22503
437,22790
438,24647
439,21933
440,22074
441,18941
442,21525
443,22460
444,21309
445,22226
446,26778
447,23947
448,19810
449,20958
450,20927
451,19244
452,21079
453,21989
454,29711
455,19912
456,20713
457,18350
458,16935
459,17460
460,19229
461,19116
462,19092
463,20199
