t,I
1,0
2,0
3,0
4,0
5,0
6,233
7,106
8,0
9,0
10,352
11,370
12,465
13,420
14,365
15,444
16,339
17,410
18,547
19,460
20,671
21,694
22,608
23,1567
24,1688
25,1845
26,1557
27,1721
28,1606
29,1578
30,1171
31,841
32,1333
33,1146
34,1083
35,1166
36,1175
37,1033
38,1105
39,1080
40,987
41,1101
42,1037
43,1103
44,1247
45,1352
46,1472
47,1233
48,1406
49,1435
50,1537
51,1539
52,1670
53,1758
54,1594
55,1525
56,1476
57,1233
58,1151
59,1190
60,1132
61,1157
62,1090
63,1073
64,1099
65,1163
66,1179
67,1056
68,1115
69,1091
70,1139
71,1165
72,1294
73,1125
74,1031
75,927
76,944
77,963
78,942
79,949
80,839
81,948
82,852
83,906
84,914
85,863
86,818
87,811
88,781
89,767
90,794
91,859
92,792
93,731
94,746
95,768
96,754
97,705
98,688
99,752
100,759
101,744
102,672
103,620
104,682
105,704
106,488
107,708
108,669
109,718
110,718
111,728
112,717
113,751
114,704
115,659
116,741
117,679
118,669
119,655
120,707
121,683
122,681
123,743
124,660
125,613
126,666
127,701
128,710
129,570
130,642
131,605
132,544
133,644
134,681
135,763
136,741
137,742
138,780
139,792
140,734
141,726
142,675
143,613
144,686
145,708
146,775
147,643
148,677
149,645
150,665
151,610
152,663
153,606
154,580
155,636
156,660
157,639
158,655
159,636
160,616
161,604
162,574
163,584
164,399
165,549
166,535
167,507
